time;H2tank fill;O2tankfill;H2tank temp;O2 tank temp;H2tankpressure;O2tank pressure;H2valve temp;O2valve temp;H2valve pressure;O2valve pressure;TurbineTemp;TurbinePressure
21;89,5;89,5;275;215;29,8333333333333;29,8333333333333;248;245;9,94444444444444;9,94444444444444;265;21
22;89;89;281;240;29,6666666666667;29,6666666666667;268;229;9,88888888888889;9,88888888888889;285;16
23;88,5;88,5;282;266;29,5;29,5;273;250;9,83333333333333;9,83333333333333;296;22
24;88;88;283;277;29,3333333333333;29,3333333333333;224;256;9,77777777777778;9,77777777777778;226;14
25;87,5;87,5;214;209;29,1666666666667;29,1666666666667;297;238;9,72222222222222;9,72222222222222;265;14
26;87;87;257;279;29;29;232;253;9,66666666666667;9,66666666666667;217;30
27;86,5;86,5;276;275;28,8333333333333;28,8333333333333;276;207;9,61111111111111;9,61111111111111;227;29
28;86;86;204;203;28,6666666666667;28,6666666666667;268;281;9,55555555555556;9,55555555555556;211;29
29;85,5;85,5;275;216;28,5;28,5;299;242;9,5;9,5;298;12
30;85;85;237;272;28,3333333333333;28,3333333333333;226;235;9,44444444444444;9,44444444444444;213;14
31;84,5;84,5;245;250;28,1666666666667;28,1666666666667;295;271;9,38888888888889;9,38888888888889;286;11
32;84;84;294;230;28;28;258;289;9,33333333333333;9,33333333333333;201;19
33;83,5;83,5;297;296;27,8333333333333;27,8333333333333;274;254;9,27777777777778;9,27777777777778;284;25
34;83;83;298;281;27,6666666666667;27,6666666666667;271;272;9,22222222222222;9,22222222222222;235;21
35;82,5;82,5;248;233;27,5;27,5;235;219;9,16666666666667;9,16666666666667;204;24
36;82;82;275;253;27,3333333333333;27,3333333333333;203;210;9,11111111111111;9,11111111111111;272;11
37;81,5;81,5;281;246;27,1666666666667;27,1666666666667;261;284;9,05555555555556;9,05555555555556;256;16
38;81;81;292;236;27;27;279;252;9;9;219;17
39;80,5;80,5;285;211;26,8333333333333;26,8333333333333;272;264;8,94444444444444;8,94444444444444;264;29
40;80;80;300;249;26,6666666666667;26,6666666666667;202;271;8,88888888888889;8,88888888888889;212;23
41;79,5;79,5;262;211;26,5;26,5;214;265;8,83333333333333;8,83333333333333;283;15
42;79;79;230;244;26,3333333333333;26,3333333333333;239;245;8,77777777777778;8,77777777777778;209;14
43;78,5;78,5;272;239;26,1666666666667;26,1666666666667;266;211;8,72222222222222;8,72222222222222;285;25
44;78;78;233;257;26;26;214;299;8,66666666666667;8,66666666666667;268;30
45;77,5;77,5;274;200;25,8333333333333;25,8333333333333;256;288;8,61111111111111;8,61111111111111;300;14
46;77;77;287;273;25,6666666666667;25,6666666666667;224;243;8,55555555555556;8,55555555555556;261;15
47;76,5;76,5;267;248;25,5;25,5;297;291;8,5;8,5;291;22
48;76;76;215;257;25,3333333333333;25,3333333333333;206;211;8,44444444444444;8,44444444444444;248;30
49;75,5;75,5;270;263;25,1666666666667;25,1666666666667;254;276;8,38888888888889;8,38888888888889;275;10
50;75;75;273;245;25;25;265;226;8,33333333333333;8,33333333333333;220;18
51;74,5;74,5;228;293;24,8333333333333;24,8333333333333;285;293;8,27777777777778;8,27777777777778;219;10
52;74;74;232;247;24,6666666666667;24,6666666666667;298;216;8,22222222222222;8,22222222222222;239;13
53;73,5;73,5;221;272;24,5;24,5;263;218;8,16666666666667;8,16666666666667;289;10
54;73;73;234;209;24,3333333333333;24,3333333333333;274;298;8,11111111111111;8,11111111111111;228;23
55;72,5;72,5;300;263;24,1666666666667;24,1666666666667;272;274;8,05555555555556;8,05555555555556;260;10
56;72;72;237;260;24;24;263;209;8;8;234;14
57;71,5;71,5;209;271;23,8333333333333;23,8333333333333;283;272;7,94444444444444;7,94444444444444;280;13
58;71;71;295;289;23,6666666666667;23,6666666666667;288;277;7,88888888888889;7,88888888888889;260;24
59;70,5;70,5;294;254;23,5;23,5;256;281;7,83333333333333;7,83333333333333;231;13
60;70;70;248;224;23,3333333333333;23,3333333333333;271;204;7,77777777777778;7,77777777777778;205;10
61;69,5;69,5;221;254;23,1666666666667;23,1666666666667;226;292;7,72222222222222;7,72222222222222;258;16
62;69;69;294;279;23;23;286;220;7,66666666666667;7,66666666666667;271;19
63;68,5;68,5;252;265;22,8333333333333;22,8333333333333;222;237;7,61111111111111;7,61111111111111;285;29
64;68;68;281;237;22,6666666666667;22,6666666666667;258;202;7,55555555555556;7,55555555555556;275;18
65;67,5;67,5;296;255;22,5;22,5;280;254;7,5;7,5;258;21
66;67;67;297;254;22,3333333333333;22,3333333333333;209;276;7,44444444444444;7,44444444444444;207;24
67;66,5;66,5;230;204;22,1666666666667;22,1666666666667;220;239;7,38888888888889;7,38888888888889;280;15
68;66;66;206;210;22;22;232;226;7,33333333333333;7,33333333333333;249;12
69;65,5;65,5;255;255;21,8333333333333;21,8333333333333;222;288;7,27777777777778;7,27777777777778;282;25
70;65;65;300;237;21,6666666666667;21,6666666666667;227;222;7,22222222222222;7,22222222222222;224;12
71;64,5;64,5;295;224;21,5;21,5;247;222;7,16666666666667;7,16666666666667;246;24
72;64;64;232;241;21,3333333333333;21,3333333333333;295;279;7,11111111111111;7,11111111111111;263;18
73;63,5;63,5;249;295;21,1666666666667;21,1666666666667;282;244;7,05555555555556;7,05555555555556;273;19
74;63;63;286;222;21;21;240;268;7;7;266;12
75;62,5;62,5;212;252;20,8333333333333;20,8333333333333;235;252;6,94444444444444;6,94444444444444;219;10
76;62;62;265;231;20,6666666666667;20,6666666666667;253;200;6,88888888888889;6,88888888888889;284;25
77;61,5;61,5;201;249;20,5;20,5;203;255;6,83333333333333;6,83333333333333;249;28
78;61;61;227;251;20,3333333333333;20,3333333333333;236;230;6,77777777777778;6,77777777777778;206;27
79;60,5;60,5;217;233;20,1666666666667;20,1666666666667;236;253;6,72222222222222;6,72222222222222;263;18
80;60;60;238;280;20;20;276;275;6,66666666666667;6,66666666666667;232;18
81;59,5;59,5;217;271;19,8333333333333;19,8333333333333;218;293;6,61111111111111;6,61111111111111;245;20
82;59;59;231;262;19,6666666666667;19,6666666666667;221;249;6,55555555555556;6,55555555555556;254;23
83;58,5;58,5;200;285;19,5;19,5;227;221;6,5;6,5;234;27
84;58;58;288;234;19,3333333333333;19,3333333333333;266;215;6,44444444444444;6,44444444444444;256;10
85;57,5;57,5;297;243;19,1666666666667;19,1666666666667;235;263;6,38888888888889;6,38888888888889;259;29
86;57;57;263;255;19;19;234;298;6,33333333333333;6,33333333333333;218;29
87;56,5;56,5;289;282;18,8333333333333;18,8333333333333;248;222;6,27777777777778;6,27777777777778;280;23
88;56;56;215;268;18,6666666666667;18,6666666666667;248;264;6,22222222222222;6,22222222222222;291;15
89;55,5;55,5;229;205;18,5;18,5;296;278;6,16666666666667;6,16666666666667;269;27
90;55;55;204;299;18,3333333333333;18,3333333333333;292;300;6,11111111111111;6,11111111111111;277;22
91;54,5;54,5;286;281;18,1666666666667;18,1666666666667;259;277;6,05555555555556;6,05555555555556;281;17
92;54;54;237;266;18;18;216;297;6;6;242;30
93;53,5;53,5;231;280;17,8333333333333;17,8333333333333;263;248;5,94444444444444;5,94444444444444;276;11
94;53;53;245;207;17,6666666666667;17,6666666666667;285;208;5,88888888888889;5,88888888888889;255;22
95;52,5;52,5;213;200;17,5;17,5;267;299;5,83333333333333;5,83333333333333;208;14
96;52;52;258;222;17,3333333333333;17,3333333333333;222;225;5,77777777777778;5,77777777777778;220;16
97;51,5;51,5;247;279;17,1666666666667;17,1666666666667;253;269;5,72222222222222;5,72222222222222;203;25
98;51;51;200;251;17;17;253;253;5,66666666666667;5,66666666666667;220;21
99;50,5;50,5;227;220;16,8333333333333;16,8333333333333;207;280;5,61111111111111;5,61111111111111;274;15
100;50;50;237;201;16,6666666666667;16,6666666666667;248;245;5,55555555555556;5,55555555555556;282;14
101;49,5;49,5;273;218;16,5;16,5;223;220;5,5;5,5;263;10
102;49;49;242;235;16,3333333333333;16,3333333333333;222;266;5,44444444444444;5,44444444444444;256;27
103;48,5;48,5;270;299;16,1666666666667;16,1666666666667;220;293;5,38888888888889;5,38888888888889;264;26
104;48;48;278;234;16;16;275;299;5,33333333333333;5,33333333333333;226;18
105;47,5;47,5;275;203;15,8333333333333;15,8333333333333;272;249;5,27777777777778;5,27777777777778;202;30
106;47;47;288;277;15,6666666666667;15,6666666666667;201;259;5,22222222222222;5,22222222222222;225;10
107;46,5;46,5;257;213;15,5;15,5;281;259;5,16666666666667;5,16666666666667;272;11
108;46;46;263;229;15,3333333333333;15,3333333333333;219;244;5,11111111111111;5,11111111111111;289;29
109;45,5;45,5;250;252;15,1666666666667;15,1666666666667;221;270;5,05555555555556;5,05555555555556;296;12
110;45;45;262;246;15;15;262;283;5;5;216;22
111;44,5;44,5;293;278;14,8333333333333;14,8333333333333;204;255;4,94444444444444;4,94444444444444;261;14
112;44;44;212;254;14,6666666666667;14,6666666666667;299;217;4,88888888888889;4,88888888888889;208;22
113;43,5;43,5;238;221;14,5;14,5;213;236;4,83333333333333;4,83333333333333;238;14
114;43;43;296;276;14,3333333333333;14,3333333333333;243;208;4,77777777777778;4,77777777777778;212;26
115;42,5;42,5;230;208;14,1666666666667;14,1666666666667;257;273;4,72222222222222;4,72222222222222;217;24
116;42;42;254;247;14;14;277;210;4,66666666666667;4,66666666666667;220;29
117;41,5;41,5;280;274;13,8333333333333;13,8333333333333;241;257;4,61111111111111;4,61111111111111;285;22
118;41;41;251;264;13,6666666666667;13,6666666666667;236;293;4,55555555555556;4,55555555555556;221;14
119;40,5;40,5;254;272;13,5;13,5;285;290;4,5;4,5;264;11
120;40;40;210;217;13,3333333333333;13,3333333333333;278;295;4,44444444444444;4,44444444444444;207;18
121;39,5;39,5;200;217;13,1666666666667;13,1666666666667;259;278;4,38888888888889;4,38888888888889;212;23
122;39;39;219;212;13;13;284;278;4,33333333333333;4,33333333333333;291;30
123;38,5;38,5;244;209;12,8333333333333;12,8333333333333;209;228;4,27777777777778;4,27777777777778;288;30
124;38;38;224;232;12,6666666666667;12,6666666666667;209;234;4,22222222222222;4,22222222222222;260;30
125;37,5;37,5;233;285;12,5;12,5;228;243;4,16666666666667;4,16666666666667;218;28
126;37;37;240;252;12,3333333333333;12,3333333333333;273;269;4,11111111111111;4,11111111111111;295;29
127;36,5;36,5;257;234;12,1666666666667;12,1666666666667;243;230;4,05555555555556;4,05555555555556;202;17
128;36;36;221;260;12;12;272;264;4;4;290;25
129;35,5;35,5;200;210;11,8333333333333;11,8333333333333;234;272;3,94444444444444;3,94444444444444;275;14
130;35;35;246;275;11,6666666666667;11,6666666666667;234;280;3,88888888888889;3,88888888888889;247;11
131;34,5;34,5;203;294;11,5;11,5;285;238;3,83333333333333;3,83333333333333;274;16
132;34;34;247;278;11,3333333333333;11,3333333333333;225;231;3,77777777777778;3,77777777777778;215;30
133;33,5;33,5;263;263;11,1666666666667;11,1666666666667;276;288;3,72222222222222;3,72222222222222;295;29
134;33;33;287;258;11;11;255;263;3,66666666666667;3,66666666666667;245;20
135;32,5;32,5;255;232;10,8333333333333;10,8333333333333;206;209;3,61111111111111;3,61111111111111;295;20
136;32;32;259;250;10,6666666666667;10,6666666666667;285;266;3,55555555555556;3,55555555555556;259;26
137;31,5;31,5;218;218;10,5;10,5;229;202;3,5;3,5;284;28
138;31;31;282;202;10,3333333333333;10,3333333333333;206;211;3,44444444444444;3,44444444444444;204;29
139;30,5;30,5;300;287;10,1666666666667;10,1666666666667;293;206;3,38888888888889;3,38888888888889;298;30
140;30;30;298;298;10;10;285;290;3,33333333333333;3,33333333333333;203;27
141;29,5;29,5;288;200;9,83333333333333;9,83333333333333;279;272;3,27777777777778;3,27777777777778;291;27
142;29;29;254;279;9,66666666666667;9,66666666666667;284;233;3,22222222222222;3,22222222222222;250;25
143;28,5;28,5;215;204;9,5;9,5;252;300;3,16666666666667;3,16666666666667;237;10
144;28;28;273;253;9,33333333333333;9,33333333333333;206;225;3,11111111111111;3,11111111111111;252;19
145;27,5;27,5;228;225;9,16666666666667;9,16666666666667;297;235;3,05555555555556;3,05555555555556;251;20
146;27;27;279;279;9;9;274;275;3;3;213;15
147;26,5;26,5;224;292;8,83333333333333;8,83333333333333;203;299;2,94444444444444;2,94444444444444;267;13
148;26;26;223;292;8,66666666666667;8,66666666666667;208;226;2,88888888888889;2,88888888888889;290;25
149;25,5;25,5;243;212;8,5;8,5;267;252;2,83333333333333;2,83333333333333;239;21
150;25;25;228;282;8,33333333333333;8,33333333333333;269;296;2,77777777777778;2,77777777777778;234;11
151;24,5;24,5;252;262;8,16666666666667;8,16666666666667;290;220;2,72222222222222;2,72222222222222;257;14
152;24;24;228;209;8;8;286;217;2,66666666666667;2,66666666666667;229;19
153;23,5;23,5;241;257;7,83333333333333;7,83333333333333;252;226;2,61111111111111;2,61111111111111;274;27
154;23;23;270;215;7,66666666666667;7,66666666666667;238;222;2,55555555555556;2,55555555555556;242;12
155;22,5;22,5;203;211;7,5;7,5;228;242;2,5;2,5;234;24
156;22;22;255;238;7,33333333333333;7,33333333333333;282;283;2,44444444444444;2,44444444444444;280;13
157;21,5;21,5;253;235;7,16666666666667;7,16666666666667;253;234;2,38888888888889;2,38888888888889;218;16
158;21;21;249;271;7;7;268;202;2,33333333333333;2,33333333333333;204;28
159;20,5;20,5;235;254;6,83333333333333;6,83333333333333;256;203;2,27777777777778;2,27777777777778;256;22
160;20;20;289;292;6,66666666666667;6,66666666666667;214;245;2,22222222222222;2,22222222222222;295;24
161;19,5;19,5;205;284;6,5;6,5;262;220;2,16666666666667;2,16666666666667;229;21
162;19;19;291;234;6,33333333333333;6,33333333333333;240;252;2,11111111111111;2,11111111111111;254;24
163;18,5;18,5;208;244;6,16666666666667;6,16666666666667;203;249;2,05555555555556;2,05555555555556;297;22
164;18;18;217;204;6;6;202;221;2;2;254;30
165;17,5;17,5;280;271;5,83333333333333;5,83333333333333;203;283;1,94444444444444;1,94444444444444;293;22
166;17;17;282;272;5,66666666666667;5,66666666666667;228;286;1,88888888888889;1,88888888888889;255;14
167;16,5;16,5;243;236;5,5;5,5;294;272;1,83333333333333;1,83333333333333;221;20
168;16;16;293;264;5,33333333333333;5,33333333333333;284;287;1,77777777777778;1,77777777777778;235;11
169;15,5;15,5;234;228;5,16666666666667;5,16666666666667;269;218;1,72222222222222;1,72222222222222;214;10
170;15;15;223;248;5;5;231;292;1,66666666666667;1,66666666666667;267;19
171;15;15;296;290;5;5;294;227;1,66666666666667;1,66666666666667;282;22
172;15;15;273;277;5;5;250;266;1,66666666666667;1,66666666666667;203;16
173;15;15;226;276;5;5;207;277;1,66666666666667;1,66666666666667;242;12
174;15;15;207;269;5;5;287;215;1,66666666666667;1,66666666666667;245;16
175;15;15;226;252;5;5;298;212;1,66666666666667;1,66666666666667;267;18
176;15;15;241;293;5;5;294;239;1,66666666666667;1,66666666666667;205;22
177;15;15;281;247;5;5;254;275;1,66666666666667;1,66666666666667;286;22
178;15;15;235;267;5;5;206;289;1,66666666666667;1,66666666666667;241;29
179;15;15;248;276;5;5;259;255;1,66666666666667;1,66666666666667;265;30
180;15;15;247;212;5;5;275;205;1,66666666666667;1,66666666666667;268;18
181;15;15;204;214;5;5;253;280;1,66666666666667;1,66666666666667;219;14
182;15;15;219;223;5;5;234;273;1,66666666666667;1,66666666666667;203;21
183;15;15;293;223;5;5;277;227;1,66666666666667;1,66666666666667;296;26
184;15;15;280;288;5;5;203;257;1,66666666666667;1,66666666666667;214;30
185;15;15;237;295;5;5;287;241;1,66666666666667;1,66666666666667;252;10
186;15;15;240;290;5;5;297;226;1,66666666666667;1,66666666666667;230;20
187;15;15;228;270;5;5;238;224;1,66666666666667;1,66666666666667;297;24
188;15;15;273;225;5;5;239;211;1,66666666666667;1,66666666666667;250;17
189;15;15;280;222;5;5;261;218;1,66666666666667;1,66666666666667;234;12
190;15;15;254;213;5;5;233;214;1,66666666666667;1,66666666666667;232;24
191;15;15;225;286;5;5;281;258;1,66666666666667;1,66666666666667;200;12
192;15;15;224;225;5;5;299;204;1,66666666666667;1,66666666666667;284;30
193;15;15;217;208;5;5;225;215;1,66666666666667;1,66666666666667;212;11
194;15;15;214;229;5;5;216;239;1,66666666666667;1,66666666666667;245;16
195;15;15;248;259;5;5;259;264;1,66666666666667;1,66666666666667;299;10
196;15;15;293;246;5;5;263;252;1,66666666666667;1,66666666666667;210;22
197;15;15;255;203;5;5;207;217;1,66666666666667;1,66666666666667;255;13
198;15;15;278;209;5;5;220;285;1,66666666666667;1,66666666666667;226;25
199;15;15;202;204;5;5;285;222;1,66666666666667;1,66666666666667;290;12
200;15;15;298;293;5;5;216;282;1,66666666666667;1,66666666666667;215;11
201;15;15;294;212;5;5;299;209;1,66666666666667;1,66666666666667;295;12
202;15;15;215;288;5;5;225;213;1,66666666666667;1,66666666666667;298;14
203;15;15;226;212;5;5;208;252;1,66666666666667;1,66666666666667;226;11
204;15;15;273;253;5;5;217;281;1,66666666666667;1,66666666666667;205;19
205;15;15;286;278;5;5;297;203;1,66666666666667;1,66666666666667;258;10
206;15;15;247;244;5;5;279;243;1,66666666666667;1,66666666666667;247;17
207;15;15;245;294;5;5;281;224;1,66666666666667;1,66666666666667;237;15
208;15;15;261;282;5;5;222;242;1,66666666666667;1,66666666666667;205;22
209;15;15;270;267;5;5;241;292;1,66666666666667;1,66666666666667;208;19
210;15;15;251;279;5;5;214;293;1,66666666666667;1,66666666666667;271;14
211;15;15;240;222;5;5;201;254;1,66666666666667;1,66666666666667;214;25
212;15;15;277;254;5;5;295;278;1,66666666666667;1,66666666666667;207;11
213;15;15;250;285;5;5;263;244;1,66666666666667;1,66666666666667;262;24
214;15;15;253;212;5;5;255;215;1,66666666666667;1,66666666666667;256;13
215;15;15;286;209;5;5;229;241;1,66666666666667;1,66666666666667;224;27
216;15;15;258;210;5;5;295;288;1,66666666666667;1,66666666666667;251;13
217;15;15;273;209;5;5;229;267;1,66666666666667;1,66666666666667;297;26
218;15;15;286;269;5;5;290;215;1,66666666666667;1,66666666666667;236;28
219;15;15;296;221;5;5;255;286;1,66666666666667;1,66666666666667;237;29
220;15;15;272;232;5;5;213;227;1,66666666666667;1,66666666666667;217;20
221;15;15;218;290;5;5;282;231;1,66666666666667;1,66666666666667;216;30
222;15;15;281;234;5;5;289;263;1,66666666666667;1,66666666666667;266;11
223;15;15;263;247;5;5;239;251;1,66666666666667;1,66666666666667;210;11
224;15;15;256;273;5;5;252;296;1,66666666666667;1,66666666666667;224;23
225;15;15;200;281;5;5;235;253;1,66666666666667;1,66666666666667;277;22
226;15;15;215;278;5;5;240;250;1,66666666666667;1,66666666666667;230;13
227;15;15;209;246;5;5;294;249;1,66666666666667;1,66666666666667;296;15
228;15;15;265;204;5;5;270;259;1,66666666666667;1,66666666666667;254;23
229;15;15;283;219;5;5;270;252;1,66666666666667;1,66666666666667;278;14
230;15;15;217;260;5;5;242;287;1,66666666666667;1,66666666666667;212;14
231;15;15;210;229;5;5;280;253;1,66666666666667;1,66666666666667;216;29
232;15;15;274;227;5;5;221;253;1,66666666666667;1,66666666666667;281;17
233;15;15;245;254;5;5;264;266;1,66666666666667;1,66666666666667;206;19
234;15;15;202;252;5;5;299;267;1,66666666666667;1,66666666666667;217;11
235;15;15;211;220;5;5;257;209;1,66666666666667;1,66666666666667;288;25
236;15;15;214;300;5;5;295;272;1,66666666666667;1,66666666666667;209;27
237;15;15;246;224;5;5;282;240;1,66666666666667;1,66666666666667;296;29
238;15;15;223;241;5;5;215;204;1,66666666666667;1,66666666666667;282;12
239;15;15;296;204;5;5;252;210;1,66666666666667;1,66666666666667;209;17
240;15;15;221;205;5;5;238;273;1,66666666666667;1,66666666666667;215;20
241;15;15;206;237;5;5;253;245;1,66666666666667;1,66666666666667;209;24
242;15;15;293;215;5;5;205;246;1,66666666666667;1,66666666666667;260;13
243;15;15;215;253;5;5;230;220;1,66666666666667;1,66666666666667;299;29
244;15;15;236;214;5;5;243;266;1,66666666666667;1,66666666666667;235;18
245;15;15;257;271;5;5;256;200;1,66666666666667;1,66666666666667;237;29
246;15;15;242;294;5;5;262;299;1,66666666666667;1,66666666666667;294;30
247;15;15;290;236;5;5;292;251;1,66666666666667;1,66666666666667;234;27
248;15;15;249;224;5;5;221;240;1,66666666666667;1,66666666666667;275;21
249;15;15;225;224;5;5;280;246;1,66666666666667;1,66666666666667;265;21
250;15;15;201;291;5;5;278;281;1,66666666666667;1,66666666666667;236;18
251;15;15;235;238;5;5;233;213;1,66666666666667;1,66666666666667;219;24
252;15;15;256;255;5;5;208;290;1,66666666666667;1,66666666666667;268;15
253;15;15;259;224;5;5;282;267;1,66666666666667;1,66666666666667;213;20
254;15;15;295;272;5;5;274;276;1,66666666666667;1,66666666666667;239;28
255;15;15;225;233;5;5;259;300;1,66666666666667;1,66666666666667;208;30
256;15;15;286;234;5;5;230;244;1,66666666666667;1,66666666666667;233;18
257;15;15;241;218;5;5;273;272;1,66666666666667;1,66666666666667;263;11
258;15;15;209;204;5;5;224;283;1,66666666666667;1,66666666666667;276;28
259;15;15;288;286;5;5;292;212;1,66666666666667;1,66666666666667;268;24
260;15;15;300;255;5;5;253;291;1,66666666666667;1,66666666666667;267;14
261;15;15;258;267;5;5;276;211;1,66666666666667;1,66666666666667;257;19
262;15;15;232;215;5;5;209;207;1,66666666666667;1,66666666666667;227;24
263;15;15;251;259;5;5;283;261;1,66666666666667;1,66666666666667;267;12
264;15;15;228;217;5;5;269;210;1,66666666666667;1,66666666666667;279;17
265;15;15;220;206;5;5;253;290;1,66666666666667;1,66666666666667;217;16
266;15;15;225;238;5;5;238;279;1,66666666666667;1,66666666666667;227;21
267;15;15;210;253;5;5;294;248;1,66666666666667;1,66666666666667;231;14
268;15;15;203;241;5;5;274;297;1,66666666666667;1,66666666666667;290;10
269;15;15;217;294;5;5;246;291;1,66666666666667;1,66666666666667;290;17
270;15;15;296;206;5;5;229;241;1,66666666666667;1,66666666666667;298;13
271;15;15;277;293;5;5;225;206;1,66666666666667;1,66666666666667;234;14
272;15;15;225;211;5;5;215;251;1,66666666666667;1,66666666666667;217;20
273;15;15;274;242;5;5;261;290;1,66666666666667;1,66666666666667;294;26
274;15;15;239;268;5;5;220;200;1,66666666666667;1,66666666666667;257;12
275;15;15;279;297;5;5;282;299;1,66666666666667;1,66666666666667;297;18
276;15;15;212;275;5;5;235;295;1,66666666666667;1,66666666666667;274;16
277;15;15;232;287;5;5;207;268;1,66666666666667;1,66666666666667;281;27
278;15;15;300;213;5;5;269;207;1,66666666666667;1,66666666666667;282;20
279;15;15;289;282;5;5;263;257;1,66666666666667;1,66666666666667;289;19
280;15;15;206;277;5;5;226;269;1,66666666666667;1,66666666666667;233;12
281;15;15;214;239;5;5;291;240;1,66666666666667;1,66666666666667;208;14
282;15;15;254;222;5;5;263;245;1,66666666666667;1,66666666666667;262;24
283;15;15;269;216;5;5;294;231;1,66666666666667;1,66666666666667;261;21
284;15;15;202;229;5;5;272;296;1,66666666666667;1,66666666666667;261;16
285;15;15;251;263;5;5;263;223;1,66666666666667;1,66666666666667;258;14
286;15;15;256;209;5;5;286;219;1,66666666666667;1,66666666666667;233;19
287;15;15;242;290;5;5;253;227;1,66666666666667;1,66666666666667;208;28
288;15;15;271;250;5;5;275;224;1,66666666666667;1,66666666666667;277;27
289;15;15;210;248;5;5;233;286;1,66666666666667;1,66666666666667;273;12
290;15;15;269;283;5;5;259;201;1,66666666666667;1,66666666666667;268;16
291;15;15;212;237;5;5;214;271;1,66666666666667;1,66666666666667;239;27
292;15;15;201;251;5;5;219;215;1,66666666666667;1,66666666666667;221;22
293;15;15;298;222;5;5;208;216;1,66666666666667;1,66666666666667;237;16
294;15;15;275;235;5;5;251;283;1,66666666666667;1,66666666666667;252;28
295;15;15;211;226;5;5;224;263;1,66666666666667;1,66666666666667;208;25
296;15;15;252;220;5;5;201;276;1,66666666666667;1,66666666666667;283;12
297;15;15;251;235;5;5;230;253;1,66666666666667;1,66666666666667;210;12
298;15;15;263;262;5;5;248;293;1,66666666666667;1,66666666666667;215;22
299;15;15;205;278;5;5;221;254;1,66666666666667;1,66666666666667;270;17
300;15;15;212;276;5;5;213;234;1,66666666666667;1,66666666666667;229;27
301;15;15;270;242;5;5;259;284;1,66666666666667;1,66666666666667;276;28
302;15;15;267;246;5;5;230;226;1,66666666666667;1,66666666666667;229;11
303;15;15;215;297;5;5;252;245;1,66666666666667;1,66666666666667;223;27
304;15;15;252;238;5;5;279;204;1,66666666666667;1,66666666666667;284;10
305;15;15;287;235;5;5;240;265;1,66666666666667;1,66666666666667;240;14
306;15;15;267;226;5;5;259;207;1,66666666666667;1,66666666666667;291;30
307;15;15;230;258;5;5;224;290;1,66666666666667;1,66666666666667;265;13
308;15;15;288;296;5;5;274;212;1,66666666666667;1,66666666666667;285;18
309;15;15;228;273;5;5;233;201;1,66666666666667;1,66666666666667;285;13
310;15;15;240;212;5;5;291;273;1,66666666666667;1,66666666666667;214;25
311;15;15;292;254;5;5;289;283;1,66666666666667;1,66666666666667;227;10
312;15;15;258;218;5;5;257;247;1,66666666666667;1,66666666666667;201;27
313;15;15;250;260;5;5;202;206;1,66666666666667;1,66666666666667;206;10
314;15;15;291;257;5;5;263;293;1,66666666666667;1,66666666666667;263;24
315;15;15;297;254;5;5;226;260;1,66666666666667;1,66666666666667;247;28
316;15;15;229;243;5;5;243;255;1,66666666666667;1,66666666666667;202;28
317;15;15;245;231;5;5;233;288;1,66666666666667;1,66666666666667;287;17
318;15;15;278;231;5;5;267;210;1,66666666666667;1,66666666666667;219;21
319;15;15;246;298;5;5;285;213;1,66666666666667;1,66666666666667;208;10
