time;PrimBusVoltage1;PrimBusCurrent1;PrimBusVoltage2;PrimBusCurrent2;SecBusVoltage2;SecBusCurrent2;SecBusVoltage3;SecBusCurrent3;MemoryRate
157;4;1;4;1;4;2;5;2;61
158;4;1;5;2;4;2;4;1;50
159;5;1;4;1;4;2;4;1;94
160;5;2;4;1;4;2;4;1;74
161;5;1;5;1;4;2;5;1;53
162;4;1;5;1;5;2;4;1;91
163;5;2;5;1;5;1;4;2;80
164;5;2;4;1;4;2;5;1;93
165;5;1;5;2;5;1;5;2;57
166;5;2;5;2;4;1;5;2;99
167;5;2;4;1;5;1;4;1;93
168;4;2;5;2;5;2;4;1;80
169;5;2;4;2;4;2;4;1;76
170;5;1;5;2;4;2;4;1;94
171;5;2;4;2;4;2;5;2;81
172;5;2;5;2;4;2;4;1;65
173;5;2;5;2;5;2;5;2;71
174;4;1;4;1;4;1;5;2;81
175;5;2;5;1;4;1;5;1;60
176;5;1;4;1;5;2;4;1;85
177;5;1;5;1;5;1;5;1;75
178;4;2;4;1;4;2;5;2;54
179;4;1;4;2;4;1;5;2;85
180;4;1;4;2;4;2;4;1;91
181;4;1;5;2;4;1;5;2;72
182;5;2;5;2;4;2;4;1;75
183;4;1;5;1;5;1;5;2;61
184;5;2;5;2;4;2;5;1;79
185;5;2;4;1;4;1;5;1;85
186;5;1;4;2;4;1;5;1;87
187;5;1;5;1;5;1;5;2;64
188;5;2;4;1;5;2;4;2;83
189;4;2;4;1;4;1;5;2;97
190;4;2;4;1;5;2;4;1;75
191;5;2;4;1;5;1;5;1;88
192;5;2;5;1;4;1;5;1;87
193;5;1;4;2;4;1;4;2;72
194;4;1;5;2;5;1;4;1;75
195;5;2;4;2;5;1;4;1;57
196;5;1;5;2;5;1;4;1;86
197;4;2;4;1;5;1;4;2;66
198;4;1;4;2;5;1;4;1;87
199;4;2;4;2;4;2;4;2;75
200;5;1;5;1;5;1;5;2;74
201;4;2;4;2;5;2;4;1;92
202;4;1;5;1;4;1;4;2;51
203;5;2;4;2;5;2;5;2;83
204;4;1;5;2;4;1;5;1;84
205;4;1;5;1;5;1;5;2;67
206;5;1;5;1;5;2;4;2;85
207;4;1;5;1;4;2;5;2;80
208;4;1;4;1;5;2;5;1;98
209;5;1;5;2;4;1;5;2;72
210;4;1;4;1;4;1;5;2;87
211;4;2;5;2;5;1;4;1;69
212;4;2;4;2;4;2;4;2;75
213;4;1;5;2;4;1;4;2;88
214;4;1;4;2;5;2;4;1;55
215;5;2;5;1;4;2;4;2;83
216;4;2;5;1;4;2;5;1;67
217;5;1;4;1;4;2;4;2;50
218;5;2;4;2;4;2;5;1;88
219;5;2;4;2;4;1;4;2;51
220;4;2;4;2;5;1;5;1;94
221;4;1;5;1;5;1;4;2;56
222;4;1;5;1;5;2;4;2;53
223;4;2;5;2;5;1;4;1;95
224;5;1;5;2;4;2;5;2;52
225;5;2;4;2;4;2;5;2;76
226;5;2;5;2;4;2;4;2;66
227;4;2;4;2;5;1;4;2;97
228;5;2;5;2;5;2;5;2;67
229;5;2;4;1;4;2;5;1;74
230;5;1;5;2;5;1;4;2;70
231;4;1;4;1;5;2;5;2;69
232;5;1;5;2;5;2;4;2;87
233;4;1;4;2;5;2;5;2;73
234;4;2;4;1;5;1;5;2;55
235;5;2;5;2;4;2;5;1;71
236;5;1;5;1;4;1;5;2;54
237;5;1;4;2;5;2;5;1;52
238;5;1;5;2;5;1;5;2;66
239;5;1;4;1;4;2;4;2;54
240;4;1;4;1;4;1;4;2;67
241;5;2;5;2;4;1;4;2;68
242;5;1;4;1;5;1;5;2;75
243;4;1;4;1;5;2;5;2;95
244;5;1;5;2;5;2;5;2;93
245;4;2;5;1;4;2;5;2;54
246;5;2;4;1;4;2;4;1;68
247;5;1;5;1;4;2;5;2;96
248;4;1;4;1;5;1;4;1;68
249;4;2;4;2;5;2;5;1;67
250;4;2;4;2;5;1;4;2;64
251;4;2;4;2;4;1;4;2;97
252;4;1;4;1;5;2;4;2;54
253;4;1;5;2;4;2;5;2;81
254;5;2;5;1;5;2;5;1;52
255;5;1;5;1;4;2;4;1;58
256;5;1;4;2;5;1;5;2;86
257;4;1;4;2;4;1;4;1;68
258;5;1;5;2;4;2;4;1;50
259;5;1;4;2;4;2;5;2;86
260;4;2;5;2;4;2;5;1;75
261;4;1;5;1;5;1;5;1;75
262;5;2;4;2;4;1;4;1;52
263;5;2;4;1;4;1;4;2;66
264;5;1;5;1;4;1;4;2;77
265;5;2;5;1;4;2;5;1;75
266;5;2;5;1;5;2;5;1;77
267;5;2;4;2;5;1;4;1;56
268;4;2;5;2;5;2;5;1;78
269;4;2;4;1;5;1;5;1;56
270;4;1;5;2;4;2;5;2;100
271;4;1;4;1;4;2;4;1;96
272;4;2;5;1;5;1;5;1;100
273;5;1;5;1;5;2;4;2;88
274;5;1;5;2;4;2;4;1;86
275;4;2;4;2;4;1;4;2;70
276;5;1;5;2;5;1;4;1;83
277;4;1;4;2;5;2;4;2;96
278;5;1;5;1;4;1;4;1;77
279;5;1;5;2;4;1;4;1;64
280;4;1;5;1;5;2;5;1;97
281;4;2;4;1;4;2;4;2;53
282;5;1;4;1;4;1;4;1;60
283;5;1;5;2;5;2;4;2;58
284;5;1;5;1;4;2;5;1;96
285;5;1;4;1;5;1;5;1;93
286;4;1;5;2;4;1;5;2;87
287;4;1;4;2;4;2;4;1;69
288;5;1;4;1;5;2;5;1;55
289;4;2;5;1;4;2;4;2;65
290;5;2;5;2;4;1;4;1;59
291;5;2;4;2;5;2;4;2;72
292;5;2;4;1;5;2;5;1;78
293;5;1;4;2;5;2;4;2;53
294;5;2;5;1;5;2;4;2;69
295;4;1;4;1;5;1;5;2;57
296;5;1;5;1;5;2;4;2;88
297;5;2;5;1;5;1;4;2;100
298;5;1;5;2;4;2;5;1;94
299;5;2;4;2;5;1;4;2;58
300;5;1;5;2;5;2;4;1;92
301;4;1;4;2;4;2;5;1;88
302;5;2;5;2;4;2;4;1;90
303;4;2;4;1;4;1;4;1;63
304;4;2;5;2;5;2;5;2;81
305;4;1;4;1;4;1;5;1;72
306;4;2;5;1;5;2;5;2;83
307;4;2;4;1;5;2;5;2;93
308;4;1;5;1;4;1;5;1;85
309;4;1;5;2;4;1;5;2;71
310;4;2;5;2;4;1;4;2;87
311;5;1;5;2;4;1;5;2;79
312;4;2;5;2;4;2;4;2;59
313;4;1;4;2;5;1;5;1;75
314;4;2;4;1;5;1;5;1;65
315;4;1;4;2;4;1;4;1;72
316;4;1;5;1;4;1;5;1;61
317;4;1;4;1;5;2;4;1;97
318;5;1;5;2;5;2;4;2;52
319;4;1;5;1;5;1;4;2;79
320;5;2;4;1;5;2;5;2;89
321;4;1;5;2;5;1;5;2;75
322;4;2;4;2;5;1;4;1;68
323;5;1;4;1;4;1;5;1;68
324;5;1;5;2;4;1;4;2;76
325;4;2;5;1;5;1;5;1;95
326;4;1;5;1;5;2;4;1;54
327;4;2;5;1;5;1;4;1;83
328;4;1;5;1;4;2;5;1;94
329;4;2;4;1;4;2;5;2;56
330;4;2;5;2;5;1;5;1;62
331;4;2;4;2;5;1;5;2;98
332;4;2;5;1;4;1;4;2;50
333;5;2;5;1;4;1;4;2;96
334;5;2;5;2;4;2;5;2;87
335;5;2;5;1;4;2;4;2;55
336;5;1;4;2;4;1;5;1;63
337;5;2;5;1;5;2;4;2;94
338;5;2;4;2;5;1;5;2;88
339;4;2;5;1;4;2;4;2;64
340;5;2;5;1;4;1;5;2;64
341;4;1;4;2;5;1;5;1;64
342;4;2;4;1;5;1;5;2;99
343;5;1;5;2;5;2;5;2;92
344;5;2;5;1;4;1;5;2;93
345;5;1;4;1;4;1;5;2;61
346;4;2;4;1;5;2;5;2;83
347;5;1;4;2;5;1;4;1;53
348;5;2;5;2;4;2;5;2;96
349;4;1;4;1;4;1;4;1;78
350;4;2;5;1;5;1;4;1;93
351;5;2;5;2;5;2;5;1;85
352;4;1;4;1;4;2;4;2;62
353;5;2;4;1;4;2;5;2;93
354;4;1;5;2;5;2;5;2;83
355;5;2;4;1;5;1;5;1;51
356;4;2;5;2;4;2;5;2;66
357;4;2;5;1;4;2;4;2;58
358;4;2;4;2;4;2;4;1;77
359;4;1;5;1;4;2;5;2;95
360;4;2;4;1;5;2;4;1;80
361;4;2;4;2;5;2;4;2;69
362;5;2;4;2;4;1;4;1;94
363;4;2;4;1;5;1;4;1;50
364;4;1;5;1;5;2;4;2;64
365;4;1;5;1;5;2;5;1;91
366;4;1;5;2;4;2;5;1;54
367;4;1;4;2;4;1;4;1;92
368;4;1;5;2;4;1;4;2;85
369;4;1;4;2;5;2;4;1;92
370;5;2;4;1;4;2;4;2;64
371;4;2;4;1;5;1;4;1;52
372;5;1;5;2;5;1;5;1;83
373;5;1;4;1;4;2;5;1;54
374;4;1;4;2;4;2;4;1;98
375;4;1;4;1;4;2;5;2;89
376;4;2;4;2;5;2;4;2;73
377;4;1;4;1;5;2;5;1;70
378;5;2;4;2;4;2;4;1;58
379;4;2;4;1;5;1;4;1;60
380;5;1;4;1;5;2;4;1;54
381;4;1;5;1;5;1;4;1;82
382;5;1;4;1;4;1;5;1;79
383;4;1;5;2;4;1;4;1;69
384;5;2;4;1;5;2;4;2;72
385;5;2;4;2;4;1;4;1;97
386;4;2;4;1;5;1;4;2;97
387;4;1;5;2;5;2;5;1;99
388;4;2;5;2;5;2;5;2;94
389;5;2;4;1;5;1;4;1;57
390;5;2;5;1;5;2;4;2;76
391;4;1;4;1;4;1;5;1;64
392;4;2;5;1;4;1;5;1;82
393;4;1;5;1;5;2;4;1;56
394;5;2;4;1;5;1;5;1;98
395;5;2;5;1;4;2;4;1;92
396;5;1;4;2;4;2;4;2;91
397;5;1;4;1;5;2;4;2;71
398;4;2;4;1;4;2;5;1;89
399;5;1;5;2;5;2;5;2;67
400;4;2;4;1;4;1;5;1;80
401;5;2;5;2;4;1;5;1;84
402;4;1;5;1;5;1;5;2;65
403;5;1;4;1;4;2;4;2;55
404;4;2;4;1;4;1;4;2;55
405;5;1;4;2;4;1;5;1;60
406;4;2;5;1;5;2;5;1;81
407;4;1;4;1;4;1;5;2;91
408;4;2;5;1;4;2;4;2;60
409;4;1;5;2;4;1;5;1;65
410;5;1;5;2;4;1;4;2;60
411;5;2;4;2;5;1;4;2;82
412;4;1;4;1;4;1;5;2;77
413;4;1;5;2;4;2;4;2;96
414;4;1;5;2;4;2;5;1;81
415;5;1;5;1;5;2;5;2;52
416;5;2;5;2;5;1;5;1;64
417;5;1;4;2;5;1;4;1;71
418;4;1;4;2;4;1;4;2;72
419;4;1;5;1;4;1;5;1;87
420;5;2;4;1;5;2;5;2;76
421;5;2;4;2;5;2;4;2;86
422;4;1;4;1;4;1;4;2;67
423;5;1;5;2;4;1;5;2;85
424;5;1;4;1;4;2;5;1;69
425;5;1;5;2;4;2;4;2;60
426;5;2;4;2;5;1;4;2;94
427;4;2;5;2;5;1;4;1;50
428;4;2;5;1;4;2;4;1;75
429;4;2;5;1;4;2;5;1;73
430;4;1;5;2;5;2;4;1;62
431;5;1;4;2;4;1;4;1;62
432;4;1;5;1;4;1;5;2;74
433;4;1;5;2;5;2;4;1;93
434;4;2;5;2;5;1;5;1;52
435;4;2;4;1;4;1;4;2;86
436;5;2;5;2;4;1;4;2;67
437;4;1;5;2;5;2;5;2;58
438;5;2;5;1;4;2;5;1;69
439;4;2;5;1;4;2;5;2;77
440;5;2;5;2;5;1;4;1;61
441;5;2;5;1;5;1;4;2;95
442;4;2;5;1;5;1;4;1;52
443;5;1;5;1;5;1;4;2;73
444;4;2;4;1;4;2;5;2;74
445;5;1;5;1;5;1;5;2;74
446;5;1;4;1;4;1;5;1;83
447;4;1;4;1;5;1;4;2;63
448;4;1;4;1;4;2;4;1;57
449;4;1;4;1;5;2;4;1;99
450;5;1;5;1;5;2;4;2;56
451;4;1;4;2;5;2;5;2;53
452;5;2;5;2;5;2;5;2;64
453;5;1;5;1;4;1;5;2;93
454;4;1;4;2;5;1;5;1;68
455;5;1;4;1;4;2;4;1;97
456;5;1;4;1;4;1;4;1;64
457;4;1;5;1;4;2;5;2;61
458;4;1;5;1;5;1;5;1;74
459;4;1;4;2;5;1;4;1;92
460;4;2;5;2;5;1;4;1;95
461;4;2;5;1;4;1;4;2;51
462;4;1;4;1;4;1;4;2;66
463;5;2;5;2;4;1;4;2;50
464;5;2;4;1;5;2;4;2;75
465;4;1;4;1;4;1;5;2;76
466;5;2;5;1;4;2;5;1;62
467;5;2;4;1;4;2;5;1;64
468;4;2;5;2;4;1;4;1;84
469;5;1;5;2;4;1;5;2;57
470;4;2;4;2;4;1;5;2;92
471;5;1;4;2;4;2;5;2;65
472;5;2;4;2;5;1;4;2;66
473;5;2;4;2;5;2;4;1;74
474;4;1;4;1;5;2;5;2;53
475;5;1;5;2;5;2;5;2;81
476;4;1;4;2;4;2;5;1;64
477;5;1;4;2;4;2;4;2;61
478;4;2;4;1;5;1;5;1;95
479;5;2;5;2;4;1;5;2;91
480;5;2;5;2;5;2;5;1;89
481;5;2;4;1;4;2;4;2;77
482;5;1;5;1;5;2;5;1;70
483;5;2;4;2;4;1;4;1;98
484;4;2;4;2;4;1;5;1;70
485;5;2;4;1;4;2;5;1;85
486;4;2;4;1;4;1;5;2;57
487;5;2;5;1;5;1;5;1;50
488;4;2;5;1;4;2;4;1;87
489;5;2;4;2;4;1;5;1;60
490;5;2;4;1;4;1;4;1;60
491;5;1;5;2;4;2;4;2;91
492;5;2;4;2;4;1;4;2;50
493;4;1;4;2;5;2;5;1;61
494;5;2;5;2;4;1;5;1;90
495;5;2;4;2;4;1;5;1;95
496;5;2;4;2;4;1;5;1;66
497;4;1;5;2;5;2;5;1;90
498;5;2;5;1;5;2;4;1;63
499;5;2;5;1;5;2;5;2;76
