Time;BusStatus;BusVoltage;BusCurrent;TotalSystemCurrent;BatteryVoltage1;BatteryTemperature1;BatteryCapacity1;BatteryVoltage2;BatteryTemperature2;BatteryCapacity2;BatteryVoltage3;BatteryTemperature3;BatteryCapacity3
57;20;27;9;11;31;39;443;31;41;443;30;38;443
58;20;29;8;8;28;27;442;30;44;442;29;30;442
59;20;32;9;9;29;36;441;30;45;441;28;36;441
60;20;27;10;12;31;40;440;27;32;440;30;50;440
61;20;28;9;11;28;46;439;28;33;439;31;47;439
62;20;33;8;11;28;41;438;30;27;438;29;50;438
63;20;32;10;10;29;47;437;27;34;437;30;48;437
64;20;33;7;11;27;35;436;28;50;436;28;34;436
65;20;32;8;11;27;35;435;27;36;435;27;38;435
66;20;28;7;12;28;41;434;27;45;434;31;31;434
67;20;32;7;12;30;49;433;30;50;433;30;46;433
68;20;33;8;11;29;34;432;29;36;432;28;45;432
69;20;28;10;8;29;31;431;29;35;431;29;31;431
70;20;30;7;10;31;36;430;31;31;430;31;50;430
71;20;32;10;10;30;30;429;29;42;429;31;35;429
72;20;27;9;11;29;32;428;29;47;428;28;30;428
73;20;30;10;10;27;42;427;31;31;427;27;42;427
74;20;32;7;9;29;36;426;29;32;426;27;44;426
75;20;31;10;8;27;25;425;28;48;425;30;27;425
76;20;27;10;8;29;44;424;31;39;424;31;42;424
77;20;31;8;10;29;46;423;28;28;423;29;39;423
78;20;30;10;9;31;27;422;31;34;422;30;47;422
79;20;32;8;12;30;47;421;30;37;421;30;27;421
80;20;30;7;12;27;43;420;29;29;420;27;46;420
81;20;28;7;10;30;35;419;30;38;419;29;49;419
82;20;27;8;9;30;45;418;31;42;418;31;29;418
83;20;27;9;12;31;32;417;31;28;417;28;36;417
84;20;27;7;11;31;34;416;27;35;416;29;31;416
85;20;27;8;11;27;46;415;27;35;415;31;38;415
86;20;27;7;9;27;37;414;28;41;414;29;35;414
87;20;33;9;12;28;31;413;28;42;413;28;25;413
88;20;30;8;9;31;28;412;29;49;412;30;49;412
89;20;28;9;8;30;40;411;30;41;411;31;35;411
90;20;32;9;8;29;28;410;31;48;410;31;33;410
91;20;33;8;10;30;32;409;28;26;409;27;42;409
92;20;30;10;12;31;50;408;27;38;408;29;27;408
93;20;30;8;8;30;46;407;29;44;407;28;47;407
94;20;32;10;11;28;42;406;31;31;406;29;49;406
95;20;33;10;11;31;29;405;27;47;405;27;25;405
96;20;30;7;8;29;49;404;28;40;404;29;35;404
97;20;32;10;9;27;40;403;30;38;403;29;43;403
98;20;32;9;9;29;26;402;30;32;402;31;32;402
99;20;31;8;9;28;43;401;28;41;401;28;43;401
100;20;33;9;10;28;32;400;30;49;400;28;36;400
101;20;29;8;11;27;36;399;31;40;399;31;36;399
102;20;29;10;12;28;40;398;30;42;398;31;43;398
103;20;30;7;9;28;45;397;27;49;397;28;32;397
104;20;28;9;8;29;39;396;29;43;396;31;25;396
105;20;32;7;10;27;49;395;28;30;395;30;40;395
106;20;32;10;10;27;28;394;28;44;394;31;30;394
107;20;29;7;9;30;46;393;28;46;393;27;32;393
108;20;28;10;8;28;39;392;28;42;392;30;25;392
109;20;32;7;10;27;45;391;28;26;391;29;35;391
110;20;31;9;9;31;42;390;30;34;390;28;35;390
111;20;30;8;8;28;40;389;28;44;389;27;41;389
112;20;32;8;9;27;30;388;29;46;388;27;48;388
113;20;27;7;8;29;27;387;27;34;387;27;35;387
114;20;30;9;10;30;25;386;30;26;386;29;32;386
115;20;30;7;9;28;31;385;31;37;385;31;25;385
116;20;32;7;9;29;37;384;27;40;384;28;27;384
117;20;32;10;10;31;37;383;31;25;383;28;44;383
118;20;31;7;9;29;32;382;29;31;382;31;44;382
119;20;30;8;8;31;41;381;31;44;381;27;33;381
120;20;32;7;12;30;45;380;27;25;380;29;27;380
121;20;33;8;12;27;32;379;29;28;379;28;43;379
122;20;27;8;8;29;37;378;28;29;378;29;41;378
123;20;28;10;8;29;27;377;29;26;377;28;37;377
124;20;28;9;10;30;44;376;31;30;376;31;38;376
125;20;32;9;9;29;47;375;28;27;375;30;47;375
126;20;29;7;11;29;33;374;28;36;374;30;39;374
127;20;27;8;12;29;44;373;30;25;373;31;48;373
128;20;33;8;11;29;34;372;29;36;372;28;47;372
129;20;27;10;9;30;32;371;29;38;371;28;35;371
130;20;32;10;11;28;37;370;27;43;370;28;25;370
131;20;29;9;10;28;31;369;30;35;369;30;32;369
132;20;33;7;10;30;36;368;28;49;368;28;30;368
133;20;30;10;11;30;49;367;31;49;367;29;50;367
134;20;31;7;12;29;27;366;28;39;366;30;37;366
135;20;30;8;10;30;47;365;28;32;365;28;40;365
136;20;33;7;10;27;34;364;31;45;364;28;48;364
137;20;28;8;9;27;30;363;29;50;363;29;49;363
138;20;28;9;8;30;38;362;30;43;362;30;29;362
139;20;33;9;11;29;32;361;29;42;361;27;25;361
140;20;29;9;9;31;33;360;29;46;360;30;28;360
141;20;27;9;10;30;33;359;27;44;359;29;43;359
142;20;28;7;8;29;46;358;29;28;358;27;40;358
143;20;28;9;10;30;41;357;29;31;357;30;25;357
144;20;31;8;11;27;43;356;29;30;356;28;48;356
145;20;33;9;11;28;46;355;27;32;355;30;40;355
146;20;33;7;9;31;33;354;27;37;354;28;29;354
147;20;33;7;10;31;40;353;30;27;353;29;46;353
148;20;31;8;10;28;38;352;31;28;352;27;31;352
149;20;30;8;11;28;39;351;31;41;351;27;32;351
150;20;29;8;12;28;28;350;31;39;350;29;35;350
151;20;29;10;10;28;34;349;27;43;349;30;46;349
152;20;28;7;9;28;45;348;31;27;348;31;25;348
153;20;29;7;11;28;33;347;30;32;347;30;25;347
154;20;27;10;9;31;29;346;27;47;346;28;48;346
155;20;28;7;8;28;48;345;28;28;345;27;33;345
156;20;28;8;9;29;38;344;29;46;344;30;45;344
157;20;27;7;9;29;25;343;27;32;343;27;30;343
158;20;31;9;9;30;46;342;28;46;342;29;47;342
159;20;27;7;11;28;47;341;27;30;341;31;29;341
160;20;33;7;8;27;36;340;31;31;340;28;28;340
161;20;28;8;10;27;42;339;31;33;339;31;34;339
162;20;33;7;8;31;36;338;31;30;338;28;27;338
163;20;28;7;10;28;36;337;31;34;337;30;29;337
164;20;33;10;11;31;33;336;28;25;336;28;32;336
165;20;31;7;11;31;27;335;31;31;335;30;48;335
166;20;33;9;8;30;49;334;30;41;334;31;35;334
167;20;31;9;9;28;29;333;27;44;333;30;42;333
168;20;27;7;12;28;48;332;30;48;332;31;45;332
169;20;32;7;11;28;27;331;30;29;331;31;48;331
170;20;33;7;8;29;35;330;31;36;330;28;27;330
171;20;30;10;10;28;31;329;30;35;329;30;40;329
172;20;33;7;12;30;37;328;29;31;328;28;40;328
173;20;27;7;8;30;33;327;29;31;327;29;38;327
174;20;29;7;12;30;33;326;28;32;326;30;33;326
175;20;27;8;11;28;43;325;28;43;325;31;44;325
176;20;29;7;10;30;49;324;28;34;324;28;39;324
177;20;32;10;10;27;32;323;30;43;323;27;42;323
178;20;28;7;12;31;49;322;27;40;322;27;32;322
179;20;30;7;9;29;42;321;28;46;321;27;36;321
180;20;27;9;8;29;39;320;28;46;320;30;50;320
181;20;33;7;10;27;47;319;27;29;319;31;30;319
182;20;32;7;8;31;29;318;31;28;318;31;48;318
183;20;28;10;8;27;50;317;27;50;317;27;47;317
184;20;27;8;12;27;30;316;31;48;316;28;31;316
185;20;32;8;10;30;31;315;30;50;315;31;26;315
186;20;30;9;9;27;43;314;28;31;314;27;50;314
187;20;30;8;11;30;41;313;31;44;313;27;32;313
188;20;30;10;12;28;42;312;27;41;312;27;50;312
189;20;30;8;11;29;27;311;30;39;311;30;31;311
190;20;28;7;9;31;46;310;27;31;310;27;31;310
191;20;31;7;8;30;32;309;27;47;309;31;28;309
192;20;33;8;10;27;33;308;28;29;308;28;45;308
193;20;31;8;8;31;37;307;28;42;307;27;42;307
194;20;32;10;8;27;40;306;27;45;306;28;28;306
195;20;33;9;11;27;33;305;27;30;305;28;41;305
196;20;33;8;12;27;39;304;27;42;304;29;37;304
197;20;31;9;8;30;31;303;29;31;303;31;29;303
198;20;29;9;10;31;48;302;28;27;302;28;50;302
199;20;30;7;12;31;30;301;27;46;301;30;31;301
200;20;31;9;10;30;35;300;28;25;300;27;46;300
201;20;30;10;9;30;48;299;28;39;299;29;30;299
202;20;32;7;8;27;43;298;29;34;298;29;42;298
203;20;30;9;9;27;25;297;31;42;297;29;39;297
204;20;27;9;10;31;30;296;27;39;296;28;41;296
205;20;28;8;12;28;46;295;27;48;295;31;35;295
206;20;32;7;9;31;28;294;28;32;294;31;37;294
207;20;30;9;11;30;26;293;29;31;293;30;30;293
208;20;33;8;9;28;42;292;31;39;292;29;31;292
209;20;32;10;12;30;36;291;29;49;291;28;33;291
210;20;32;10;11;28;47;290;27;41;290;30;49;290
211;20;29;7;12;28;41;289;29;33;289;27;39;289
212;20;28;8;8;30;44;288;27;30;288;31;40;288
213;20;29;9;9;29;45;287;28;30;287;27;45;287
214;20;30;10;10;30;49;286;30;40;286;29;37;286
215;20;28;8;10;31;47;285;31;36;285;27;30;285
216;20;33;10;8;31;35;284;27;25;284;28;28;284
217;20;27;7;10;28;27;283;31;36;283;28;48;283
218;20;27;9;8;31;50;282;28;44;282;31;46;282
219;20;32;10;12;27;40;281;31;48;281;28;41;281
220;20;32;8;9;29;34;280;30;29;280;27;26;280
221;20;29;9;10;31;45;279;29;26;279;27;28;279
222;20;30;7;12;27;30;278;27;29;278;30;30;278
223;20;27;9;10;27;48;277;27;34;277;31;47;277
224;20;32;7;11;31;37;276;30;45;276;28;47;276
225;20;30;7;9;28;49;275;29;29;275;29;43;275
226;20;30;10;11;27;49;274;27;45;274;29;48;274
227;20;30;8;12;29;31;273;28;37;273;30;44;273
228;20;29;8;12;29;44;272;30;32;272;27;49;272
229;20;29;9;11;31;49;271;30;49;271;28;35;271
230;20;31;7;9;29;29;270;29;46;270;31;45;270
231;20;28;7;12;30;27;269;30;40;269;28;25;269
232;20;30;7;8;28;41;268;28;33;268;27;36;268
233;20;29;8;8;31;45;267;28;31;267;28;44;267
234;20;29;7;10;29;32;266;30;33;266;29;45;266
235;20;33;7;8;30;38;265;30;36;265;28;47;265
236;20;30;10;9;27;35;264;30;25;264;31;43;264
237;20;29;7;8;27;27;263;27;45;263;29;28;263
238;20;33;9;9;31;33;262;30;27;262;28;30;262
239;20;29;8;10;27;34;261;31;31;261;30;27;261
240;20;32;9;10;30;49;260;27;44;260;30;47;260
241;20;28;8;12;28;30;259;29;30;259;29;25;259
242;20;27;10;9;30;25;258;30;41;258;27;35;258
243;20;32;9;9;29;31;257;29;46;257;27;27;257
244;20;28;9;9;30;34;256;29;44;256;29;50;256
245;20;27;7;9;29;50;255;31;37;255;27;28;255
246;20;32;9;8;30;27;254;27;47;254;31;45;254
247;20;27;9;12;28;39;253;31;50;253;29;37;253
248;20;33;10;8;30;44;252;29;29;252;30;33;252
249;20;28;8;8;30;38;251;30;26;251;30;25;251
250;20;27;8;10;31;38;250;28;46;250;30;42;250
251;20;29;8;8;30;32;249;31;33;249;30;32;249
252;20;30;8;10;28;40;248;28;41;248;27;39;248
253;20;28;8;8;29;27;247;28;25;247;28;44;247
254;20;28;9;12;29;44;246;27;29;246;31;46;246
255;20;33;8;10;27;38;245;29;48;245;29;46;245
256;20;30;9;9;31;37;244;31;45;244;31;34;244
257;20;27;10;12;31;43;243;30;31;243;30;43;243
258;20;27;9;10;31;50;242;28;40;242;27;48;242
259;20;27;10;12;28;39;241;31;28;241;29;48;241
260;20;27;10;10;31;49;240;27;48;240;31;48;240
261;20;29;10;12;29;46;239;31;34;239;27;44;239
262;20;28;9;10;27;25;238;30;44;238;28;35;238
263;20;29;8;10;27;25;237;30;36;237;28;49;237
264;20;33;8;12;29;46;236;28;38;236;30;42;236
265;20;30;8;10;31;45;235;28;38;235;28;37;235
266;20;27;7;9;28;40;234;29;42;234;30;41;234
267;20;33;10;9;29;37;233;31;27;233;29;42;233
268;20;29;10;8;28;25;232;30;47;232;28;38;232
269;20;27;9;10;30;36;231;31;28;231;29;37;231
270;20;31;7;12;29;32;230;29;26;230;31;39;230
271;20;33;9;12;29;40;229;31;50;229;29;34;229
272;20;32;10;12;30;49;228;29;26;228;30;37;228
273;20;27;8;10;29;38;227;28;26;227;29;42;227
274;20;30;7;9;30;30;226;31;35;226;30;49;226
275;20;31;8;8;29;47;225;31;35;225;29;33;225
276;20;30;10;9;29;34;224;30;45;224;31;42;224
277;20;27;8;8;30;29;223;31;35;223;27;32;223
278;20;29;10;10;28;33;222;30;41;222;30;40;222
279;20;27;7;12;30;42;221;30;34;221;30;42;221
280;20;28;9;9;31;48;220;27;38;220;27;42;220
281;20;33;7;10;31;40;219;30;41;219;29;45;219
282;20;28;8;9;31;27;218;31;44;218;28;31;218
283;20;27;8;9;31;25;217;30;30;217;27;49;217
284;20;30;7;12;28;32;216;27;29;216;31;31;216
285;20;28;7;10;28;32;215;29;40;215;29;38;215
286;20;28;10;12;29;35;214;28;27;214;29;27;214
287;20;33;7;10;28;30;213;27;32;213;27;28;213
288;20;32;8;9;30;41;212;29;48;212;29;46;212
289;20;28;7;10;30;27;211;31;40;211;28;27;211
290;20;27;7;9;31;42;210;29;27;210;30;41;210
291;20;29;9;9;31;46;209;27;37;209;27;45;209
292;20;32;10;11;31;35;208;30;42;208;28;42;208
293;20;28;7;8;31;43;207;28;42;207;31;34;207
294;20;32;10;8;27;42;206;27;34;206;28;26;206
295;20;30;8;11;29;46;205;27;39;205;28;39;205
296;20;28;10;9;28;34;204;30;49;204;30;35;204
297;20;29;7;11;31;50;203;28;32;203;28;35;203
298;20;27;7;9;29;36;202;30;47;202;29;45;202
299;20;28;10;9;31;46;201;30;42;201;27;43;201
300;20;33;10;10;30;40;200;29;34;200;29;37;200
301;20;33;7;8;29;39;199;30;49;199;29;45;199
302;20;27;10;9;30;47;198;31;36;198;31;43;198
303;20;32;9;10;30;25;197;29;34;197;31;25;197
304;20;33;8;8;29;46;196;31;36;196;30;33;196
305;20;30;7;8;28;40;195;31;42;195;27;25;195
306;20;32;8;11;30;28;194;30;43;194;31;29;194
307;20;29;9;9;27;33;193;28;30;193;30;47;193
308;20;30;9;8;30;49;192;31;39;192;29;40;192
309;20;32;7;10;30;43;191;31;31;191;29;28;191
310;20;32;7;12;30;34;190;28;48;190;27;37;190
311;20;32;10;12;27;45;189;31;39;189;29;47;189
312;20;29;9;11;28;29;188;27;30;188;29;44;188
313;20;32;10;12;31;28;187;29;43;187;31;36;187
314;20;31;10;10;27;41;186;29;40;186;28;36;186
315;20;28;8;8;30;25;185;28;28;185;27;46;185
316;20;28;10;12;30;25;184;27;35;184;28;49;184
317;20;28;10;12;28;32;183;28;31;183;29;26;183
318;20;28;10;9;29;28;182;31;37;182;28;44;182
319;20;32;10;12;30;31;181;27;36;181;27;49;181
320;20;28;10;9;29;30;180;28;36;180;29;26;180
321;20;31;10;9;31;35;179;30;50;179;27;42;179
322;20;28;10;8;31;49;178;27;41;178;27;26;178
323;20;31;7;8;30;44;177;28;47;177;29;33;177
324;20;33;7;8;27;27;176;29;35;176;31;45;176
325;20;30;7;12;27;36;175;31;47;175;31;47;175
326;20;32;7;9;29;48;174;28;36;174;30;33;174
327;20;32;7;9;27;41;173;31;33;173;28;26;173
328;20;30;8;11;28;42;172;27;36;172;28;36;172
329;20;27;9;8;27;25;171;28;40;171;27;49;171
330;20;32;8;12;27;48;170;27;25;170;30;35;170
331;20;33;9;9;27;44;169;31;37;169;30;43;169
332;20;32;10;10;30;32;168;27;38;168;27;50;168
333;20;33;10;9;27;34;167;28;29;167;28;30;167
334;20;30;9;10;30;43;166;31;50;166;27;37;166
335;20;31;10;8;29;48;165;28;25;165;29;30;165
336;20;28;7;8;29;26;164;30;42;164;28;42;164
337;20;32;9;11;29;34;163;31;26;163;27;40;163
338;20;32;9;12;30;40;162;27;32;162;28;41;162
339;20;28;7;9;28;34;161;29;50;161;30;42;161
340;20;28;7;8;31;50;160;30;37;160;28;42;160
341;20;30;7;11;27;37;159;31;47;159;27;48;159
342;20;30;7;9;29;25;158;28;32;158;29;40;158
343;20;31;10;11;27;31;157;27;42;157;31;28;157
344;20;29;7;9;29;44;156;28;39;156;27;35;156
345;20;33;8;8;28;26;155;27;42;155;31;41;155
346;20;32;8;11;31;48;154;30;39;154;30;49;154
347;20;28;9;12;31;30;153;29;47;153;29;30;153
348;20;32;8;10;28;31;152;31;37;152;31;31;152
349;20;33;7;10;30;43;151;29;50;151;30;42;151
350;20;30;8;9;31;34;150;31;39;150;31;34;150
351;20;33;9;11;31;31;149;29;31;149;27;31;149
352;20;33;7;10;29;33;148;30;44;148;28;43;148
353;20;28;10;8;31;39;147;28;39;147;30;29;147
354;20;31;9;11;31;29;146;29;28;146;31;27;146
355;20;32;10;9;28;49;145;27;35;145;30;47;145
356;20;31;7;12;30;38;144;30;40;144;27;43;144
357;20;29;10;9;27;38;143;29;44;143;31;34;143
358;20;33;10;12;28;43;142;31;44;142;30;45;142
359;20;31;7;10;29;46;141;27;31;141;29;30;141
360;20;32;10;8;31;28;140;29;28;140;31;35;140
361;20;28;10;10;30;47;139;28;26;139;27;28;139
362;20;30;9;8;31;43;138;27;27;138;28;44;138
363;20;27;7;10;27;33;137;30;48;137;29;25;137
364;20;29;9;9;27;37;136;30;28;136;31;34;136
365;20;30;10;12;28;27;135;30;40;135;29;42;135
366;20;30;10;11;27;35;134;28;46;134;31;27;134
367;20;31;7;10;31;46;133;28;50;133;29;33;133
368;20;30;8;8;30;32;132;29;28;132;30;47;132
369;20;28;9;8;31;42;131;31;43;131;31;37;131
370;20;33;10;8;31;39;130;27;32;130;29;50;130
371;20;30;8;10;30;39;129;31;40;129;27;31;129
372;20;28;9;11;27;32;128;31;34;128;29;37;128
373;20;28;9;11;31;48;127;28;37;127;27;44;127
374;20;28;7;11;29;38;126;30;30;126;30;45;126
375;20;33;7;9;29;34;125;27;34;125;28;30;125
376;20;31;10;10;30;30;124;31;47;124;31;42;124
377;20;30;9;12;28;34;123;30;49;123;31;31;123
378;20;32;7;11;29;26;122;29;46;122;31;40;122
379;20;30;8;11;31;32;121;29;38;121;30;25;121
380;20;28;9;9;30;29;120;27;44;120;28;44;120
381;20;27;7;12;27;45;119;28;48;119;31;32;119
382;20;32;7;8;27;49;118;31;34;118;30;50;118
383;20;29;10;12;28;29;117;30;34;117;30;39;117
384;20;29;7;11;27;34;116;28;40;116;30;34;116
385;20;29;9;11;30;32;115;29;26;115;30;28;115
386;20;32;8;10;28;34;114;27;34;114;27;34;114
387;20;32;8;11;31;44;113;31;29;113;29;31;113
388;20;33;8;12;30;39;112;29;25;112;29;48;112
389;20;33;7;10;29;30;111;31;35;111;28;27;111
390;20;32;9;9;30;28;110;29;47;110;31;31;110
391;20;28;9;9;30;40;109;28;48;109;30;27;109
392;20;28;8;11;30;33;108;29;43;108;30;47;108
393;20;29;8;9;31;50;107;31;43;107;28;27;107
394;20;33;7;8;30;49;106;29;46;106;31;43;106
395;20;33;9;11;28;35;105;29;25;105;28;28;105
396;20;31;9;10;28;42;104;31;33;104;28;37;104
397;20;33;9;8;30;48;103;29;30;103;30;26;103
398;20;29;9;12;31;43;102;30;48;102;27;31;102
399;20;33;10;12;29;46;101;27;46;101;30;49;101
400;20;32;8;11;30;27;100;29;43;100;31;43;100
401;20;30;9;11;31;33;99;30;39;99;30;31;99
402;20;29;9;10;31;30;98;28;31;98;29;49;98
403;20;32;9;8;27;45;97;30;27;97;30;31;97
404;20;28;10;8;31;47;96;30;28;96;27;35;96
405;20;28;7;9;31;29;95;28;30;95;28;33;95
406;20;30;7;10;31;34;94;31;28;94;31;50;94
407;20;31;9;9;29;45;93;28;36;93;29;47;93
408;20;32;10;11;31;34;92;27;47;92;27;25;92
409;20;30;7;9;30;50;91;29;41;91;29;41;91
410;20;27;7;11;29;45;90;27;29;90;31;31;90
411;20;32;8;8;31;37;89;31;27;89;28;28;89
412;20;27;7;11;31;31;88;31;27;88;28;25;88
413;20;32;8;9;30;36;87;30;41;87;27;50;87
414;20;33;10;9;29;36;86;29;38;86;28;34;86
415;20;33;10;12;29;36;85;27;47;85;28;28;85
416;20;31;10;10;31;43;84;31;50;84;28;46;84
417;20;30;8;10;29;31;83;31;33;83;30;30;83
418;20;33;8;10;31;42;82;28;26;82;29;39;82
419;20;30;8;9;30;37;81;30;33;81;31;29;81
420;20;30;9;11;28;26;80;30;38;80;29;34;80
421;20;28;10;10;30;35;79;27;28;79;29;48;79
422;20;30;8;9;29;38;78;31;37;78;27;32;78
423;20;32;9;12;30;28;77;31;25;77;31;39;77
424;20;32;9;11;30;44;76;30;31;76;29;34;76
425;20;33;8;8;29;39;75;30;50;75;29;25;75
426;20;27;7;10;30;26;74;27;46;74;27;30;74
427;20;29;10;9;29;45;73;29;43;73;27;35;73
428;20;33;9;8;29;35;72;28;47;72;28;26;72
429;20;27;10;10;29;43;71;31;37;71;30;43;71
430;20;33;7;10;31;43;70;27;38;70;30;34;70
431;20;33;8;8;27;25;69;30;37;69;31;30;69
432;20;30;7;9;28;40;68;27;37;68;27;31;68
433;20;31;8;12;31;48;67;31;28;67;30;35;67
434;20;33;8;9;31;40;66;31;33;66;29;35;66
435;20;31;8;8;29;45;65;29;49;65;29;26;65
436;20;33;10;12;29;48;64;28;40;64;31;30;64
437;20;30;8;8;30;26;63;27;49;63;29;37;63
438;20;27;7;10;27;29;62;27;40;62;28;33;62
439;20;28;8;10;28;50;61;30;40;61;27;28;61
440;20;27;8;8;31;25;60;28;25;60;27;42;60
441;20;28;7;11;28;27;59;31;26;59;28;48;59
442;20;32;9;8;30;43;58;28;38;58;29;47;58
443;20;30;7;10;30;40;57;27;41;57;27;27;57
444;20;28;10;11;28;37;56;30;34;56;30;41;56
445;20;27;10;8;31;32;55;31;36;55;28;44;55
446;20;30;7;8;28;40;54;29;28;54;27;39;54
447;20;28;9;8;30;42;53;28;29;53;31;46;53
448;20;29;8;10;30;42;52;28;37;52;27;47;52
449;20;33;9;10;28;28;51;29;29;51;27;31;51
450;20;31;8;9;28;40;50;29;37;50;28;48;50
451;20;33;9;10;28;25;49;30;32;49;31;33;49
452;20;32;8;9;29;40;48;28;48;48;28;38;48
453;20;28;10;8;29;48;47;29;25;47;27;37;47
454;20;28;9;9;30;42;46;29;28;46;31;30;46
455;20;30;8;12;27;41;45;30;32;45;27;29;45
456;20;28;8;11;31;39;44;31;26;44;30;30;44
457;20;32;9;11;31;41;43;29;25;43;29;26;43
458;20;32;8;11;28;32;42;27;33;42;27;35;42
459;20;27;8;11;27;43;41;30;39;41;30;29;41
460;20;28;10;12;27;35;40;29;30;40;30;35;40
461;20;27;9;11;30;47;39;29;26;39;31;27;39
462;20;32;9;12;28;41;38;31;34;38;29;38;38
463;20;29;9;8;28;27;37;30;47;37;29;34;37
464;20;27;10;10;30;41;36;31;50;36;30;44;36
465;20;30;8;9;29;32;35;27;29;35;30;33;35
466;20;30;7;10;29;33;34;28;47;34;31;37;34
467;20;30;8;12;31;32;33;30;32;33;30;26;33
468;20;27;9;9;30;47;32;27;46;32;31;42;32
469;20;28;9;10;28;38;31;29;50;31;30;29;31
470;20;30;7;11;27;50;30;28;30;30;29;35;30
471;20;33;9;10;28;45;29;31;43;29;30;37;29
472;20;27;7;9;27;44;28;31;39;28;31;50;28
473;20;32;10;11;31;37;27;29;45;27;28;37;27
474;20;30;7;12;27;48;26;28;39;26;28;34;26
475;20;30;8;9;30;26;25;30;29;25;29;27;25
476;20;29;8;8;27;39;24;30;29;24;31;27;24
477;20;29;7;11;27;29;23;29;28;23;29;40;23
478;20;32;9;11;28;41;22;28;50;22;29;45;22
479;20;32;10;10;27;44;21;31;45;21;29;40;21
480;20;28;8;9;27;32;20;31;40;20;29;33;20
481;20;33;8;10;30;26;19;27;25;19;31;38;19
482;20;31;9;10;30;43;18;29;29;18;28;30;18
483;20;32;7;12;28;29;17;28;38;17;31;32;17
484;20;30;8;10;30;45;16;29;25;16;28;42;16
485;20;30;10;10;31;25;15;30;40;15;29;43;15
486;20;27;8;11;30;50;14;28;37;14;27;40;14
487;20;28;10;10;28;31;13;29;50;13;29;34;13
488;20;30;10;11;27;45;12;27;38;12;28;47;12
489;20;28;8;11;28;25;11;31;27;11;27;36;11
490;20;32;8;10;30;37;10;30;29;10;28;25;10
